name,description,price,category,pictureUrl
Eastsheen 3x3x3 Cube Black Body with 6-Color Wall Stickers,"Eastsheen 3x3x3 Cube Black Body with 6-Color Wall Stickers
Size: 5.7 cm x 5.7 cm x 5.7 cm
Weight: 95g
100% brand new, Packed in a PP plastic bag.

Product Information
Eastsheen 3x3x3 cube is smooth and easy to turn. It's smaller, lighter, challenging and fun!
 
The game includes hundreds of combinations, if you would like to solve it successfully, you will have to use your imagination and thinking skills to develop the possibilities in advance. It is a logical-training game, which is suitable for both children (at least 36 months old) and adults.

Safety Certification
This product is patented in many countries and has passed ASTM (U.S.A) and EN71 (Europe).

Enjoy !",14.99,3x3,https://www.hknowstore.com/locale/en-US/product/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=448594
Gan GAN356 iPlay2 3x3x3 (Magnetic) Black Body Smart Cube with APP,"Gan GAN356 iPlay2 3x3x3 (Magnetic) Black Body Smart Cube with APP (Robot not Included)

CUBE Size: 56x56x56mm
CUBE Color : Black Body
CUBE Weight: about 76g
Battery Type: 3.7V lithium
Working Time: 8 Hours
Charging Time: 2.5 Hours
USB Output: 5V 0.5A
APP: Cube Station
Device Requirement: IOS 9.0 / Android 4.4 or above 
(Gan Robot is not Included)

Enjoy !",44.99,3x3,https://www.hknowstore.com/locale/en-US/product/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=446766
Gan GAN356 iPlay2 3x3x3 (Magnetic) Stickerless Smart Cube with APP,"Gan GAN356 iPlay2 3x3x3 (Magnetic) Stickerless Smart Cube with APP

CUBE Size: 56x56x56mm
CUBE Color : Stickerless 
CUBE Weight: about 76g
Battery Type: 3.7V lithium
Working Time: 8 Hours
Charging Time: 2.5 Hours
USB Output: 5V 0.5A
APP: Cube Station
Device Requirement: IOS 9.0 / Android 4.4 or above 
(Gan Robot is not Included)

Enjoy !",54.99,3x3,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=443333
Qiyi 3x3x3 (3cm) Pillow Cube Keychain Stickerless,"Qiyi 3x3x3 (3cm) Pillow Cube Keychain Stickerless

Brand: QiYi
Color: Stickerless
Size: 30*30*30 mm
Weight: 30g

Enjoy!",4.99,3x3,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=394389
Moyu YJ Blind Cube Black Body with Tactility Tiles,"Moyu YJ Blind Cube Black Body with Tactility Tiles 

Brand: Moyu YJ
Color: Black Body 
Size: 61*61*61 mm
Weight: 90g
 
PS: tiles color are randomly selected due to latest production.

Enjoy !",8.99,3x3,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=441790
Qiyi 2x2x2 (3.5cm) Pillow Cube Keychain Stickerless,"Qiyi 2x2x2 (3.5cm) Pillow Cube Keychain Stickerless

Brand: QiYi
Color: Stickerless
Size: 35*35*35 mm
Weight: 30g

Enjoy!",4.99,2x2,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=443307
Yuxin Earth 2x2x2 Cube,"Yuxin Earth 2x2x2 Cube

size: 6.35 x 6.35 x 6.35cm
weight: 68g
packing: PVC Box

Happy puzzling !",11.99,2x2,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=439911
Penguin 2x2x2 puzzle,"Penguin 2x2x2 puzzle
weight: 168g",11.99,2x2,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=437295
Gans GAN249 v2 2x2x2 (Magnetic) Speed Cube Stickerless,"Gans GAN249 v2 2x2x2 (Magnetic) Speed Cube Stickerless
Brand: GAN
.Color: Colorful
.Material: ABS
.Product Dimensions: 4.9*4.9*4.9cm

.Packing: Carton Box


To buy Calvin's Lube, please go below link,
//www.hknowstore.com/locale/en-US/categoryofcorp.aspx?corpname=nowstore&search=Lube

Happy Cubing !",19,2x2,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=390718
Type C WitTwo V3 2x2x2 Cube Black Body,"Type C WitTwo V3 2x2x2 Cube Black Body

 

English Name:WitTwo III,WitTwo V3

Cube size:about 51.0MM
Cube weight:about 68g

very Smooth,not POP,very Stable，very strong anti corner cutting.

better than WitTwo V1 and WitTwo V2.

assembled ,not DIYKIT",11.99,2x2,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=361004
"Fabio Touch 4x4x4 Cube II (Clear & White Body, White Core)","Fabio Touch 4x4x4 Cube II (Clear & White Body, White Core)
- designed by Fabio Bini Graciose
Brand : Calvin's puzzle
Color : Clear & White Body, White Core
Edge length (small layer): 60 mm 
Edge length (wide layer): 62 mm
Weight : about 138g

This cube consists of internal and external pieces of two 4x4x4s with different size and colors.  The result is a 4x4x4 cube in which the pieces are not only distinguishable by colour but also by touch. 
The new 4x4x4 cube is a speed cube, high quality and fun to solve.

TP Ref. : https://twistypuzzles.com/cgi-bin/puzzle.cgi?pkey=8196 

Enjoy !",28,4x4,https://www.hknowstore.com/locale/en-US/product/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=447290
"Meffert's 4x4x4 Checker Board Black
Meffert's 4x4x4 Checker Board Black","Meffert's 4x4x4 Checker Board Black

Size : 6.2x6.2x6.2cm

Enjoy!",24.99,4x4,https://www.hknowstore.com/locale/en-US/product/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=445930
Calvin's 4x4x4 Black Body for Speed Cubing (with 6x6x6 Core Mechanism),"Calvin's 4x4x4 Black Body for Speed Cubing (with 6x6x6 Core Mechanism)
 

Puzzle info.: 

Color : Black Body  
 Weight : 140g

Puzzle Dimension :  60x60x60 mm

 

Enjoy !",24,4x4,https://www.hknowstore.com/locale/en-US/product/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=445912
Calvin's 4x4x4 Windmill Extreme Cube Black Body,"Calvin's 4x4x4 Windmill Extreme Cube Black Body

Brand : Calvin's puzzle
Color : Black Body
Weight : about 140g

To solve the cube, you have to retain it to the original state. It change shapes, fun to solve.
High quality, good for collection or as gifts to friends/families. 

Enjoy !",28,4x4,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=445470
MoYu AoSu GTS2M 4x4x4 Magnetic Stickerless for Speed-cubing (NEW),"MoYu AoSu GTS2M 4x4x4 Magnetic Stickerless for Speed-cubing (NEW)

Brand : MoYu
Name : AoSu  GTS2M 4x4x4 Magnetic
Size : 61x61x61mm
Weight : 251g
Color : Stickerless

It has the unique and revolutionary design that you will have your fingers fly when playing.  Turns good as 3x3 speed cube.
The mechanism design is intended to have no pops. Magnetic mechanism make the cube more stable.
 The adverse corner-cutting goes all the way to 1/2 piece ! Essential for speed cube.  

To buy Calvin's Lube, please go below link,
www.hknowstore.com/locale/en-US/categoryofcorp.aspx?corpname=nowstore&search=Lube

Enjoy !",38.99,4x4,https://www.hknowstore.com/locale/en-US/~/__ImageGrabber.axd?c=1&d=60&w=225&h=500&id=401297
